,0
0,"id: 2214475, target: Objectives: [17.7041], Fitness: 17.704099999999993, solution: [1.29583474 1.05848569 2.52224256 1.00843535 2.1793085  0.41668583]"
1,"id: 2214710, target: Objectives: [15.4424], Fitness: 15.442400000000012, solution: [1.29583474 1.05848569 1.22751869 1.96200717 1.35710726 0.41668583]"
2,"id: 2215002, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
3,"id: 2215306, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
4,"id: 2215587, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
5,"id: 2215890, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
6,"id: 2216191, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
7,"id: 2216493, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
8,"id: 2216795, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
9,"id: 2217097, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
10,"id: 2217399, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
11,"id: 2217760, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
12,"id: 2218025, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
13,"id: 2218307, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
14,"id: 2218607, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
15,"id: 2218910, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
16,"id: 2219211, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
17,"id: 2219513, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
18,"id: 2219815, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
19,"id: 2220117, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
20,"id: 2220419, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
21,"id: 2220721, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
