,0
0,"id: 2214458, target: Objectives: [9380.7873], Fitness: 9380.7873, solution: [1.29583474 1.05848569 0.23832209 0.64736012 1.35710726 0.69210182]"
1,"id: 2214780, target: Objectives: [9380.7873], Fitness: 9380.7873, solution: [1.29583474 1.05848569 0.23832209 0.64736012 1.35710726 0.69210182]"
2,"id: 2215028, target: Objectives: [9380.7873], Fitness: 9380.7873, solution: [1.29583474 1.05848569 0.23832209 0.64736012 1.35710726 0.69210182]"
3,"id: 2215300, target: Objectives: [9273.2494], Fitness: 9273.249399999999, solution: [0.26497214 1.22427579 1.36462085 1.96200717 1.35710726 1.49811576]"
4,"id: 2215680, target: Objectives: [1761.9769], Fitness: 1761.9769000000001, solution: [1.29583474 1.05848569 1.36462085 0.8472569  1.35710726 0.41668583]"
5,"id: 2215943, target: Objectives: [659.4989], Fitness: 659.4989, solution: [1.29583474 3.64613072 1.36462085 1.96200717 1.35710726 0.41668583]"
6,"id: 2216195, target: Objectives: [403.4321], Fitness: 403.4321000000001, solution: [1.29583474 1.05848569 2.52224256 1.96200717 1.35710726 0.41668583]"
7,"id: 2216520, target: Objectives: [174.8154], Fitness: 174.81539999999998, solution: [1.29583474 1.66090223 1.36462085 1.96200717 1.35710726 0.41668583]"
8,"id: 2216867, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
9,"id: 2217192, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
10,"id: 2217479, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
11,"id: 2217796, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
12,"id: 2218088, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
13,"id: 2218380, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
14,"id: 2218680, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
15,"id: 2218986, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
16,"id: 2219306, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
17,"id: 2219594, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
18,"id: 2219911, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
19,"id: 2220205, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
20,"id: 2220474, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
21,"id: 2220802, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
22,"id: 2221118, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
23,"id: 2221419, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
24,"id: 2221716, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
25,"id: 2222016, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
26,"id: 2222329, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
27,"id: 2222627, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
28,"id: 2222920, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
29,"id: 2223225, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
30,"id: 2223524, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
31,"id: 2223828, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
32,"id: 2224125, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
33,"id: 2224399, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
34,"id: 2224703, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
35,"id: 2225018, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
36,"id: 2225333, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
37,"id: 2225611, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
38,"id: 2225932, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
39,"id: 2226234, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
40,"id: 2226541, target: Objectives: [70.0709], Fitness: 70.07090000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 2.68197679 0.41668583]"
41,"id: 2226846, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
42,"id: 2227156, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
43,"id: 2227447, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
44,"id: 2227684, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
45,"id: 2228062, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
46,"id: 2228358, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
47,"id: 2228660, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
48,"id: 2228884, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
49,"id: 2229249, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
50,"id: 2229545, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
51,"id: 2229849, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
52,"id: 2230115, target: Objectives: [63.0698], Fitness: 63.069799999999994, solution: [1.65158133 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
53,"id: 2230484, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
54,"id: 2230786, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
55,"id: 2231088, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
56,"id: 2231390, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
57,"id: 2231692, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
58,"id: 2231994, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
59,"id: 2232296, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
60,"id: 2232598, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
61,"id: 2232900, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
62,"id: 2233202, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
63,"id: 2233504, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
64,"id: 2233806, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
65,"id: 2234108, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
66,"id: 2234410, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
67,"id: 2234712, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
68,"id: 2235014, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
