,0
0,"id: 2214479, target: Objectives: [17.7041], Fitness: 17.704099999999993, solution: [1.29583474 1.05848569 2.52224256 1.00843535 2.1793085  0.41668583]"
1,"id: 2214781, target: Objectives: [15.4424], Fitness: 15.442400000000012, solution: [1.29583474 1.05848569 1.22751869 1.96200717 1.35710726 0.41668583]"
2,"id: 2215083, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
3,"id: 2215385, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
4,"id: 2215687, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
5,"id: 2215989, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
6,"id: 2216291, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
7,"id: 2216593, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
8,"id: 2216895, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
9,"id: 2217197, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
10,"id: 2217499, target: Objectives: [1.5421], Fitness: 1.542100000000002, solution: [1.29583474 1.05848569 1.36462085 1.96200717 1.35710726 0.41668583]"
11,"id: 2217801, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
12,"id: 2218103, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
13,"id: 2218405, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
14,"id: 2218707, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
15,"id: 2219009, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
16,"id: 2219311, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
17,"id: 2219613, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
18,"id: 2219915, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
19,"id: 2220217, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
20,"id: 2220519, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
21,"id: 2220821, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
22,"id: 2221123, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
23,"id: 2221425, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
24,"id: 2221727, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
25,"id: 2222029, target: Objectives: [1.2734], Fitness: 1.273399999999997, solution: [1.29583474 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
26,"id: 2222331, target: Objectives: [1.2541], Fitness: 1.2541000000000015, solution: [1.28877161 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
27,"id: 2222633, target: Objectives: [1.2541], Fitness: 1.2541000000000015, solution: [1.28877161 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
28,"id: 2222935, target: Objectives: [1.2541], Fitness: 1.2541000000000015, solution: [1.28877161 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
29,"id: 2223237, target: Objectives: [1.2541], Fitness: 1.2541000000000015, solution: [1.28877161 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
30,"id: 2223539, target: Objectives: [1.2541], Fitness: 1.2541000000000015, solution: [1.28877161 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
31,"id: 2223841, target: Objectives: [1.2541], Fitness: 1.2541000000000015, solution: [1.28877161 1.05848569 1.35225897 1.96200717 1.35710726 0.41668583]"
32,"id: 2224143, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
33,"id: 2224445, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
34,"id: 2224747, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
35,"id: 2225049, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
36,"id: 2225351, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
37,"id: 2225653, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
38,"id: 2225955, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
39,"id: 2226257, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
40,"id: 2226559, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
41,"id: 2226861, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
42,"id: 2227163, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
43,"id: 2227465, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
44,"id: 2227767, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
45,"id: 2228069, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
46,"id: 2228371, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
47,"id: 2228673, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
48,"id: 2228975, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
49,"id: 2229277, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
50,"id: 2229579, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
51,"id: 2229881, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
52,"id: 2230183, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
53,"id: 2230485, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
54,"id: 2230787, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
55,"id: 2231089, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
56,"id: 2231391, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
57,"id: 2231693, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
58,"id: 2231995, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
59,"id: 2232297, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
60,"id: 2232599, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
61,"id: 2232901, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
62,"id: 2233203, target: Objectives: [1.2222], Fitness: 1.222200000000004, solution: [1.28877161 1.05848569 1.35225897 1.95773016 1.35710726 0.41668583]"
