,0
0,"id: 2214480, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
1,"id: 2214782, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
2,"id: 2215084, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
3,"id: 2215386, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
4,"id: 2215688, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
5,"id: 2215990, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
6,"id: 2216292, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
7,"id: 2216594, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
8,"id: 2216896, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
9,"id: 2217198, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
10,"id: 2217500, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
11,"id: 2217802, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
12,"id: 2218104, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
13,"id: 2218406, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
14,"id: 2218708, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
15,"id: 2219010, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
16,"id: 2219312, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
17,"id: 2219614, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
18,"id: 2219916, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
19,"id: 2220218, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
20,"id: 2220520, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
21,"id: 2220822, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
22,"id: 2221124, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
23,"id: 2221426, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
24,"id: 2221728, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
25,"id: 2222030, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
26,"id: 2222332, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
27,"id: 2222634, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
28,"id: 2222936, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
29,"id: 2223238, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
30,"id: 2223540, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
31,"id: 2223842, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
32,"id: 2224144, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
33,"id: 2224446, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
34,"id: 2224748, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
35,"id: 2225050, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
36,"id: 2225352, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
37,"id: 2225654, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
38,"id: 2225956, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
39,"id: 2226258, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
40,"id: 2226560, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
41,"id: 2226862, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
42,"id: 2227164, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
43,"id: 2227466, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
